kind	text	url
link	前 言 .............................................. - 5 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127406
link	第一章 “十二五”基础测绘规划完成情况 ................ - 6 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127407
link	第二章 “十三五”面临的形势和需求分析 ................ - 9 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127408
link	一、“十三五”面临形势 .......................................................... - 9 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127409
link	二、需求分析 .............................................................................. - 10 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127410
link	三、存在问题 .............................................................................. - 12 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127411
link	第三章 指导思想和基本原则 .......................... - 13 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127412
link	一、指导思想 .............................................................................. - 13 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127413
link	二、基本原则 .............................................................................. - 13 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127414
link	第四章 发展目标 ..................................... - 14 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127415
link	第五章 主要任务 ..................................... - 15 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127416
link	一、推进测绘基准现代化应用 ............................................... - 15 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127417
link	二、加强基础地理信息资源获取 .......................................... - 15 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127418
link	三、提升地理信息公共服务能力 .......................................... - 15 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127419
link	四、建成信息化测绘技术体系 ............................................... - 16 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127420
link	第六章 重要项目安排 ................................ - 17 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127421
link	一、现代化测绘基准体系建设工程 ...................................... - 17 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127422
link	二、基础影像获取工程 ............................................................ - 17 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127423
link	三、大比例尺地形图测绘及更新工程 .................................. - 18 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127424
link	四、数字城市地理空间框架建设工程 .................................. - 19 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127425
link	五、基础测绘应急保障工程 ................................................... - 19 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127426
link	六、智慧城市时空云平台建设 ............................................... - 20 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127427
link	七、开发测绘公共产品 ............................................................ - 21 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127428
link	第七章 基础测绘各年度项目安排及费用估算 ............ - 22 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127429
link	一、基础测绘项目投入费用依据 .......................................... - 22 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127430
link	二、莆田市基础测绘项目划分 ............................................... - 22 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127431
link	三、莆田市基础测绘分阶段目标及年度计划 .................... - 23 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127432
link	第八章 保障措施 ..................................... - 26 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127433
link	一、政策保障 .............................................................................. - 26 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127434
link	二、组织保障 .............................................................................. - 26 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127435
link	三、经费保障 .............................................................................. - 26 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127436
link	四、技术保障 .............................................................................. - 27 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127437
link	五、安全保障 .............................................................................. - 27 -	https://www.putian.gov.cn/zfxxgk/szfwj/fzgh/201608/t20160823_481425.htm#_Toc448127438
