url	from_url	note
http://www.chengxiang.gov.cn/zwgk/gzbg/	direct:/zwgk/jhzj/xqgzbg/	enum-other-site
http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_2275/202002/t20200219_213364.html	direct:/jdhy/hygq/	enum-other-site
http://www.chinacdc.cn/jkzt/crb/zl/szkb_11803/jszl_2275/202002/t20200219_213364.html	jdhy-root	enum-other-site
http://www.chinasafety.gov.cn/newpage/Contents/Channel_4140/2017/0203/282797/content_282797.htm	direct:/jdhy/zcjd/szcjd/	enum-other-site
http://www.chinatax.gov.cn/chinatax/n810341/n810825/c101434/c5173058/content.html	direct:/zwgk/zdlyxxgk/jsjfssyhzcgkzl/	enum-other-site
http://www.fj.gov.cn/jdhy/hygq/202502/t20250210_6713017.htm	direct:/jdhy/hygq/	enum-other-site
http://www.fj.gov.cn/jdhy/hygq/202502/t20250210_6713017.htm	jdhy-root	enum-other-site
http://www.fj.gov.cn/zwgk/flfg/dfxfg/	direct:/zwgk/fgwj/fl/	enum-other-site
http://www.fj.gov.cn/zwgk/flfg/szfgz/	direct:/zwgk/fgwj/gz/	enum-other-site
http://www.fj.sgcc.com.cn/html/main/col2831/column_2831_1.html	direct:/zwgk/zdlyxxgk/xzsysf/ggqsydwsf/	enum-other-site
http://www.fjptyz.com/	direct:/zfxxgk/ggqsydwxxgk/jylyggqsydw/	enum-other-site
http://www.fjptzx.com/	direct:/zfxxgk/ggqsydwxxgk/jylyggqsydw/	enum-other-site
http://www.fujian.gov.cn/zwgk/zfxxgk/szfwj/jgzz/csjrzcwj/202107/t20210715_5649794.htm	direct:/zwgk/zdlyxxgk/shgysyjsly/tpgjly/fpzc/	enum-other-site
http://www.gov.cn/xinwen/2020-11/16/content_5561754.htm	direct:/zwgk/ptdt/ptyw/	enum-other-site
http://www.gov.cn/zhengce/content/2019-11/26/content_5455818.htm	direct:/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgkzd/	enum-other-site
http://www.gov.cn/zhengce/content/2020-01/08/content_5467526.htm	direct:/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgkzd/	enum-other-site
http://www.gov.cn/zhengce/content/2021-09/29/content_5639620.htm	direct:/zfxxgk/bmzfxxgk/ptsjj/zfxxgk/zfxxgkzd/	enum-other-site
http://www.gov.cn/zhengce/xzfgk/index.htm	direct:/zwgk/fgwj/xglj/	enum-other-site
http://www.gov.cn/zhuanti/2020qglh/index.htm	direct:/zwgk/ptdt/ptyw/	enum-other-site
http://www.kynyyyt.com/16-c-business.html	direct:/zwgk/zdlyxxgk/xzsysf/ggqsydwsf/	enum-other-site
http://www.kynyyyt.com/info-company.html	direct:/zfxxgk/ggqsydwxxgk/gqlyqsydw/	enum-other-site
http://www.mlr.gov.cn/xwdt/jrxw/201709/t20170908_1585894.htm	direct:/jdhy/zcjd/szcjd/	enum-other-site
http://www.ptcdi.gov.cn/xxgk/xcgz/202602/t20260213_2163238.htm	direct:/zwgk/tzgg/	enum-other-site
http://www.ptcdi.gov.cn/xxgk/xcgz/202602/t20260213_2163238.htm	zwgk-root	enum-other-site
http://www.ptcdi.gov.cn/xxgk/xcgz/202608/t20260821_2230850.htm	direct:/zwgk/tzgg/	enum-other-site
http://www.ptcdi.gov.cn/xxgk/xcgz/202608/t20260821_2230850.htm	zwgk-root	enum-other-site
http://www.ptd2sx.cn/	direct:/zfxxgk/ggqsydwxxgk/jylyggqsydw/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/gksq/	bmzfxxgk-root	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220426_1721519.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220426_1721531.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220429_1722255.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220429_1722263.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220429_1722294.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220429_1722367.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202204/t20220429_1722401.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202205/t20220516_1725402.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202205/t20220516_1725405.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202205/t20220516_1725408.htm	direct:/zwgk/zdlyxxgk/yata/rdya/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202207/t20220710_1737851.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202207/t20220715_1739406.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743356.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743359.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743360.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743361.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743362.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
http://www.pthj.gov.cn/zfxxgk/qzfwj/qt/202208/t20220803_1743381.htm	direct:/zwgk/zdlyxxgk/yata/zxta/	enum-other-site
