url	channel	err	http_status	attempts
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201610/t20161028_498259.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201612/t20161208_505785.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201703/t20170310_515558.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201703/t20170314_515813.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201703/t20170317_516107.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201703/t20170320_516186.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201703/t20170331_523571.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201704/t20170419_525487.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201704/t20170421_525801.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201705/t20170504_536135.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201705/t20170510_536726.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/ptdt/ptyw/201705/t20170515_537056.htm	zwgk/ptdt/ptyw	404	404	2
https://www.putian.gov.cn/zwgk/tzgg/202204/t20220406_1716176.htm	zwgk/tzgg	404	404	2
https://www.putian.gov.cn/zwgk/zdlyxxgk/czzj/bmyjs/sjys/202512/t20251203_2035118.htm	zwgk/zdlyxxgk/czzj/bmyjs/sjys	404	404	2
https://www.putian.gov.cn/zwgk/zdlyxxgk/shgysyjsly/zhsgjyly/gzdt/202608/t20260826_2231302.htm	zwgk/zdlyxxgk/shgysyjsly/zhsgjyly/gzdt	404	404	2
https://www.putian.gov.cn/zwgk/zxwjs/szfbwj/201909/t20190923_1405374.htm	zwgk/zxwjs/szfbwj	404	404	1
